Index,Word,EntityType
8,a,o
8,r,o
8,f,o
8, ,o
8,höchstens einen,KARDINALITÄT
8, ,o
8,Verkauf,ENTITÄT
8, ,o
8,bearbeiten,BEZIEHUNG
8,.,o
8, ,o
9,I,o
9,m,o
9, ,o
9,Verkauf,ENTITÄT
9, ,o
9,k,o
9,ö,o
9,n,o
9,n,o
9,e,o
9,n,o
9, ,o
9,viele,KARDINALITÄT
9, ,o
9,Produkte,ENTITÄT
9, ,o
9,involviert,BEZIEHUNG
9, ,o
9,s,o
9,e,o
9,i,o
9,n,o
9,.,o
9, ,o
10,J,o
10,e,o
10,d,o
10,e,o
10,s,o
10, ,o
10, ,o
10,Produkt,ENTITÄT
10, ,o
10,e,o
10,n,o
10,t,o
10,h,o
10,ä,o
10,l,o
10,t,o
10, ,o
10,Preis,ATTRIBUT
10,",",o
10, ,o
10,Produktname,ATTRIBUT
10, ,o
10,u,o
10,n,o
10,d,o
10, ,o
10,e,o
10,i,o
10,n,o
10,d,o
10,e,o
10,u,o
10,t,o
10,i,o
10,g,o
10,e,o
10, ,o
10,Produkt-ID,PRIMÄRSCHLÜSSEL
10,.,o
10, ,o
11,E,o
11,s,o
11, ,o
11,g,o
11,i,o
11,b,o
11,t,o
11, ,o
11,z,o
11,w,o
11,e,o
11,i,o
11, ,o
11,s,o
11,p,o
11,e,o
11,z,o
11,i,o
11,e,o
11,l,o
11,l,o
11,e,o
11, ,o
11,P,o
11,r,o
11,o,o
11,d,o
11,u,o
11,k,o
11,t,o
11,t,o
11,y,o
11,p,o
11,e,o
11,n,o
11,:,o
11, ,o
11,Neuwaren,ISA
11,",",o
11, ,o
11,b,o
11,e,o
11,i,o
11, ,o
11,d,o
11,e,o
11,n,o
11,e,o
11,n,o
11, ,o
11,d,o
11,i,o
11,e,o
11, ,o
11,Verpackungsnummer,ATTRIBUT
11, ,o
11,r,o
11,e,o
11,g,o
11,i,o
11,s,o
11,t,o
11,r,o
11,i,o
11,e,o
11,r,o
11,t,o
11, ,o
11,i,o
11,s,o
11,t,o
11,.,o
11, ,o
12,B,o
12,e,o
12,i,o
12, ,o
12,Gebrauchtwaren,ISA
12, ,o
12,w,o
12,i,o
12,r,o
12,d,o
12, ,o
12,d,o
12,i,o
12,e,o
12, ,o
12,Anzahl der Vorbesitzer,ATTRIBUT
12, ,o
12,m,o
12,i,o
12,t,o
12,g,o
12,e,o
12,f,o
12,ü,o
12,h,o
12,r,o
12,t,o
12,.,o
12, ,o
13,E,o
13,i,o
13,n,o
13,e,o
13, ,o
13,Filiale,ENTITÄT
13, ,o
13,w,o
13,i,o
13,r,o
13,d,o
13, ,o
13,d,o
13,u,o
13,r,o
13,c,o
13,h,o
13, ,o
13,d,o
13,i,o
13,e,o
13, ,o
13,Filial-ID,PRIMÄRSCHLÜSSEL
13, ,o
13,e,o
13,i,o
13,n,o
13,d,o
13,e,o
13,u,o
13,t,o
13,i,o
13,g,o
13, ,o
13,i,o
13,d,o
13,e,o
13,n,o
13,t,o
13,i,o
13,f,o
13,i,o
13,z,o
13,i,o
13,e,o
13,r,o
13,t,o
13,.,o
14,D,o
14,i,o
14,e,o
14, ,o
14,Filiale,ENTITÄT
14, ,o
14,h,o
14,a,o
14,t,o
14, ,o
14,e,o
14,i,o
14,n,o
14,e,o
14,n,o
14, ,o
14,Filialnamen,ATTRIBUT
14,",",o
14, ,o
14,e,o
14,i,o
14,n,o
14,e,o
14, ,o
14,Filialadresse,ATTRIBUT
14, ,o
14,u,o
14,n,o
14,d,o
14, ,o
14,e,o
14,i,o
14,n,o
14,e,o
14, ,o
14,Telefonnummer,ATTRIBUT
14,.,o
14, ,o
15,Verkauf,ENTITÄT
15, ,o
15,e,o
15,n,o
15,t,o
15,h,o
15,ä,o
15,l,o
15,t,o
15, ,o
15,Datum,ATTRIBUT
15,",",o
15, ,o
15,Uhrzeit,ATTRIBUT
15, ,o
15,u,o
15,n,o
15,d,o
15, ,o
15,Betrag,ATTRIBUT
15,.,o
16,J,o
16,e,o
16,d,o
16,e,o
16,r,o
16, ,o
16,Mitarbeiter,ENTITÄT
16, ,o
16,h,o
16,a,o
16,t,o
16, ,o
16,e,o
16,i,o
16,n,o
16,e,o
16,n,o
16, ,o
16,M,o
16,i,o
16,t,o
16,a,o
16,r,o
16,b,o
16,e,o
16,i,o
16,t,o
16,e,o
16,r,o
16,n,o
16,a,o
16,m,o
16,e,o
16,n,o
16, ,o
16,b,o
16,e,o
16,s,o
16,t,o
16,e,o
16,h,o
16,e,o
16,n,o
16,d,o
16, ,o
16,a,o
16,u,o
16,s,o
16, ,o
16,Vorname,ATTRIBUT
16, ,o
16,u,o
16,n,o
16,d,o
16, ,o
16,Nachname,ATTRIBUT
16,",",o
16, ,o
16,e,o
16,i,o
16,n,o
16,e,o
16, ,o
16,o,o
16,d,o
16,e,o
16,r,o
16, ,o
16,m,o
16,e,o
16,h,o
16,r,o
16,e,o
16,r,o
16,e,o
16, ,o
16,Mitarbeiteradressen,MEHRWERTIGES ATTRIBUT
16, ,o
16,u,o
16,n,o
16,d,o
16, ,o
16,e,o
16,i,o
16,n,o
16,e,o
16, ,o
16,Telefonnummer,ATTRIBUT
16,.,o
16, ,o
17,D,o
17,i,o
17,e,o
17, ,o
17,Mitarbeiter,ENTITÄT
17, ,o
17,u,o
17,n,o
17,d,o
17, ,o
17,d,o
17,e,o
17,r,o
17, ,o
17,Filialleiter,ENTITÄT
17, ,o
17,w,o
17,e,o
17,r,o
17,d,o
17,e,o
17,n,o
17, ,o
17,d,o
17,u,o
17,r,o
17,c,o
17,h,o
17, ,o
17,e,o
17,i,o
17,n,o
17,e,o
17, ,o
17,ID,ATTRIBUT
17, ,o
17,i,o
17,d,o
17,e,o
17,n,o
17,t,o
17,i,o
17,f,o
17,i,o
17,z,o
17,i,o
17,e,o
17,r,o
17,t,o
17,.,o
19,E,o
19,i,o
19,n,o
19,e,o
19, ,o
19,S,o
19,t,o
19,a,o
19,d,o
19,t,o
19,v,o
19,e,o
19,r,o
19,w,o
19,a,o
19,l,o
19,t,o
19,u,o
19,n,o
19,g,o
19, ,o
19,m,o
19,ö,o
19,c,o
19,h,o
19,t,o
19,e,o
19, ,o
19,a,o
19,l,o
19,l,o
19,e,o
19, ,o
19,r,o
19,e,o
19,s,o
19,s,o
19,o,o
19,r,o
19,t,o
19,ü,o
19,b,o
19,e,o
19,r,o
19,g,o
19,r,o
19,e,o
19,i,o
19,f,o
19,e,o
19,n,o
19,d,o
19,e,o
19,n,o
19, ,o
19,P,o
19,r,o
19,o,o
19,j,o
19,e,o
19,k,o
19,t,o
19,e,o
19, ,o
19,i,o
19,n,o
19, ,o
19,e,o
19,i,o
19,n,o
19,e,o
19,r,o
19, ,o
19,D,o
19,a,o
19,t,o
19,e,o
19,n,o
19,b,o
19,a,o
19,n,o
19,k,o
19, ,o
19,e,o
19,r,o
19,f,o
19,a,o
19,s,o
19,s,o
19,e,o
19,n,o
19,.,o
20,Jedem,KARDINALITÄT
20, ,o
20,Projekt,ENTITÄT
20, ,o
20,m,o
20,u,o
20,s,o
20,s,o
20, ,o
20,ein,KARDINALITÄT
20, ,o
20,Mitarbeiter,ENTITÄT
20, ,o
20,z,o
20,u,o
20,g,o
20,e,o
20,o,o
20,r,o
20,d,o
20,n,o
20,e,o
20,t,o
20, ,o
20,w,o
20,e,o
20,r,o
20,d,o
20,e,o
20,n,o
20,",",o
20, ,o
20,d,o
20,e,o
20,r,o
20, ,o
20,d,o
20,a,o
20,s,o
20, ,o
20,P,o
20,r,o
20,o,o
20,j,o
20,e,o
20,k,o
20,t,o
20, ,o
20,leitet,BEZIEHUNG
20,.,o
20, ,o
22,A,o
22,u,o
22,ß,o
22,e,o
22,r,o
22,d,o
22,e,o
22,m,o
22, ,o
22,s,o
22,o,o
22,l,o
22,l,o
22,e,o
22,n,o
22, ,o
22,e,o
22,i,o
22,n,o
22,e,o
22,m,o
22, ,o
22,Projekt,ENTITÄT
22, ,o
22,Mitarbeiter,ENTITÄT
22, ,o
22,z,o
22,u,o
22,g,o
22,e,o
22,w,o
22,i,o
22,e,o
22,s,o
22,e,o
22,n,o
22, ,o
22,w,o
22,e,o
22,r,o
22,d,o
22,e,o
22,n,o
22, ,o
22,k,o
22,ö,o
22,n,o
22,n,o
22,n,o
22,e,o
22,n,o
22,",",o
22, ,o
22,d,o
22,i,o
22,e,o
22, ,o
22,a,o
22,n,o
22, ,o
22,d,o
22,e,o
22,m,o
22, ,o
22,Projekt,ENTITÄT
22, ,o
22,mitarbeiten,BEZIEHUNG
22, ,o
22,s,o
22,o,o
22,l,o
22,l,o
22,e,o
22,n,o
22,.,o
22, ,o
24,Mitarbeiter,ENTITÄT
24, ,o
24,k,o
24,ö,o
24,n,o
24,n,o
24,e,o
24,n,o
24, ,o
24,z,o
24,e,o
24,i,o
24,t,o
24,g,o
24,l,o
24,e,o
24,i,o
24,c,o
24,h,o
24, ,o
24,o,o
24,d,o
24,e,o
24,r,o
24, ,o
24,i,o
24,m,o
24, ,o
24,L,o
24,a,o
24,u,o
24,f,o
24,e,o
24, ,o
24,d,o
24,e,o
24,r,o
24, ,o
24,Z,o
24,e,o
24,i,o
24,t,o
24, ,o
24,a,o
24,n,o
24, ,o
24,verschiedenen,KARDINALITÄT
24, ,o
24,Projekten,ENTITÄT
24, ,o
24,mitarbeiten,BEZIEHUNG
24,.,o
25,F,o
25,ü,o
25,r,o
25, ,o
25,alle,KARDINALITÄT
25, ,o
25,b,o
25,e,o
25,t,o
25,e,o
25,i,o
25,l,o
25,i,o
25,g,o
25,t,o
25,e,o
25,n,o
25, ,o
25,Mitarbeiter,ENTITÄT
25, ,o
25,m,o
25,u,o
25,s,o
25,s,o
25, ,o
25,a,o
25,u,o
25,ß,o
25,e,o
25,r,o
25,d,o
25,e,o
25,m,o
25, ,o
25,d,o
25,a,o
25,s,o
25, ,o
25,Ressort,ENTITÄT
25, ,o
25,a,o
25,n,o
25,g,o
25,e,o
25,g,o
25,e,o
25,b,o
25,e,o
25,n,o
25, ,o
25,s,o
25,e,o
25,i,o
25,n,o
25,",",o
25, ,o
25,i,o
25,n,o
25, ,o
25,d,o
25,e,o
25,m,o
25, ,o
25,s,o
25,i,o
25,e,o
25, ,o
25,arbeiten,BEZIEHUNG
25,.,o
26,F,o
26,ü,o
26,r,o
26, ,o
26,j,o
26,e,o
26,d,o
26,e,o
26,s,o
26, ,o
26,Projekt,ENTITÄT
26, ,o
26,s,o
26,o,o
26,l,o
26,l,o
26,e,o
26,n,o
26, ,o
26,d,o
26,i,o
26,e,o
26, ,o
26,Projektbezeichnung,ATTRIBUT
26,",",o
26, ,o
26,e,o
26,i,o
26,n,o
26,e,o
26, ,o
26,Kurzbeschreibung,ATTRIBUT
26,",",o
26, ,o
26,d,o
26,a,o
26,s,o
26, ,o
26,Start-,ATTRIBUT
26, ,o
26,u,o
26,n,o
26,d,o
26, ,o
26,d,o
26,a,o
26,s,o
26, ,o
26,Abschlussdatum,ATTRIBUT
26,",",o
26, ,o
26,d,o
26,e,o
26,r,o
26, ,o
26,P,o
26,r,o
26,o,o
26,j,o
26,e,o
26,k,o
26,t,o
26,l,o
26,e,o
26,i,o
26,t,o
26,e,o
26,r,o
26, ,o
26,s,o
26,o,o
26,w,o
26,i,o
26,e,o
26, ,o
26,a,o
26,l,o
26,l,o
26,e,o
26, ,o
26,w,o
26,e,o
26,i,o
26,t,o
26,e,o
26,r,o
26,e,o
26,n,o
26, ,o
26,P,o
26,r,o
26,o,o
26,j,o
26,e,o
26,k,o
26,t,o
26,m,o
26,i,o
26,t,o
26,a,o
26,r,o
26,b,o
26,e,o
26,i,o
26,t,o
26,e,o
26,r,o
26, ,o
26,v,o
26,e,o
26,r,o
26,f,o
26,ü,o
26,g,o
26,b,o
26,a,o
26,r,o
26, ,o
26,s,o
26,e,o
26,i,o
26,n,o
26,.,o
27,F,o
27,ü,o
27,r,o
27, ,o
27,j,o
27,e,o
27,d,o
27,e,o
27,n,o
27, ,o
27,Mitarbeiter,ENTITÄT
27, ,o
27,s,o
27,o,o
27,l,o
27,l,o
27,e,o
27,n,o
27, ,o
27,Personalnummer,PRIMÄRSCHLÜSSEL
27,",",o
27, ,o
27,Vor-,ATTRIBUT
27, ,o
27,u,o
27,n,o
27,d,o
27, ,o
27,Nachname,ATTRIBUT
27, ,o
27,s,o
27,o,o
27,w,o
27,i,o
27,e,o
27, ,o
27,d,o
27,a,o
27,s,o
27, ,o
27,Ressort,ENTITÄT
27,",",o
27, ,o
27,i,o
27,n,o
27, ,o
27,d,o
27,e,o
27,m,o
27, ,o
27,e,o
27,r,o
27, ,o
27,a,o
27,r,o
27,b,o
27,e,o
27,i,o
27,t,o
27,e,o
27,t,o
27,",",o
27, ,o
27,v,o
27,e,o
27,r,o
27,f,o
27,ü,o
27,g,o
27,b,o
27,a,o
27,r,o
27, ,o
27,s,o
27,e,o
27,i,o
27,n,o
27,.,o
28,F,o
28,ü,o
28,r,o
28, ,o
28,j,o
28,e,o
28,d,o
28,e,o
28,s,o
28, ,o
28,Ressort,ENTITÄT
28, ,o
28,s,o
28,o,o
28,l,o
28,l,o
28, ,o
28,d,o
28,e,o
28,s,o
28,s,o
28,e,o
28,n,o
28, ,o
28,Bezeichnung,ATTRIBUT
28, ,o
28,g,o
28,e,o
28,s,o
28,p,o
28,e,o
28,i,o
28,c,o
28,h,o
28,e,o
28,r,o
28,t,o
28, ,o
28,w,o
28,e,o
28,r,o
28,d,o
28,e,o
28,n,o
28, ,o
28,k,o
28,ö,o
28,n,o
28,n,o
28,e,o
28,n,o
28,.,o
31,E,o
31,i,o
31,n,o
31, ,o
31,M,o
31,a,o
31,s,o
31,c,o
31,h,o
31,i,o
31,n,o
31,e,o
31,n,o
31,b,o
31,a,o
31,u,o
31,-,o
31,U,o
31,n,o
31,t,o
31,e,o
31,r,o
31,n,o
31,e,o
31,h,o
31,m,o
31,e,o
31,n,o
31, ,o
31,m,o
31,ö,o
31,c,o
31,h,o
31,t,o
31,e,o
31, ,o
31,s,o
31,e,o
31,i,o
31,n,o
31,e,o
31, ,o
31,F,o
31,e,o
31,r,o
31,t,o
31,i,o
31,g,o
31,u,o
31,n,o
31,g,o
31, ,o
31,i,o
31,n,o
31, ,o
31,e,o
31,i,o
31,n,o
31,e,o
31,r,o
31, ,o
31,z,o
31,e,o
31,n,o
31,t,o
31,r,o
31,a,o
31,l,o
31,e,o
31,n,o
31, ,o
31,D,o
31,a,o
31,t,o
31,e,o
31,n,o
31,b,o
31,a,o
31,n,o
31,k,o
31, ,o
31,v,o
31,e,o
31,r,o
31,w,o
31,a,o
31,l,o
31,t,o
31,e,o
31,n,o
31,.,o
32,D,o
32,a,o
32,s,o
32, ,o
32,U,o
32,n,o
32,t,o
32,e,o
32,r,o
32,n,o
32,e,o
32,h,o
32,m,o
32,e,o
32,n,o
32, ,o
32,h,o
32,a,o
32,t,o
32, ,o
32,verschiedene,KARDINALITÄT
32, ,o
32,Fertigungsstraßen,ENTITÄT
32, ,o
32,e,o
32,i,o
32,n,o
32,g,o
32,e,o
32,r,o
32,i,o
32,c,o
32,h,o
32,t,o
32,e,o
32,t,o
32,",",o
32, ,o
32,i,o
32,n,o
32, ,o
32,d,o
32,e,o
32,n,o
32,e,o
32,n,o
32, ,o
32,j,o
32,e,o
32,w,o
32,e,o
32,i,o
32,l,o
32,s,o
32, ,o
32,genau ein,KARDINALITÄT
32, ,o
32,Produkt,ENTITÄT
32, ,o
32,hergestellt,BEZIEHUNG
32, ,o
32,w,o
32,i,o
32,r,o
32,d,o
32,.,o
32, ,o
33,M,o
33,a,o
33,n,o
33,c,o
33,h,o
33,e,o
33, ,o
33,Produkte,ENTITÄT
33, ,o
33,w,o
33,e,o
33,r,o
33,d,o
33,e,o
33,n,o
33, ,o
33,n,o
33,i,o
33,c,o
33,h,o
33,t,o
33, ,o
33,m,o
33,e,o
33,h,o
33,r,o
33, ,o
33,h,o
33,e,o
33,r,o
33,g,o
33,e,o
33,s,o
33,t,o
33,e,o
33,l,o
33,l,o
33,t,o
33,",",o
33, ,o
33,a,o
33,n,o
33,d,o
33,e,o
33,r,o
33,e,o
33, ,o
33,s,o
33,i,o
33,n,o
33,d,o
33, ,o
33,d,o
33,a,o
33,g,o
33,e,o
33,g,o
33,e,o
33,n,o
33, ,o
33,s,o
33,o,o
33, ,o
33,g,o
33,e,o
33,f,o
33,r,o
33,a,o
33,g,o
33,t,o
33,",",o
33, ,o
33,d,o
33,a,o
33,s,o
33,s,o
33, ,o
33,s,o
33,i,o
33,e,o
33, ,o
33,s,o
33,o,o
33,g,o
33,a,o
33,r,o
33, ,o
33,i,o
33,n,o
33, ,o
33,mehreren,KARDINALITÄT
33, ,o
33,Fertigungsstraßen,ENTITÄT
33, ,o
33,g,o
33,e,o
33,f,o
33,e,o
33,r,o
33,t,o
33,i,o
33,g,o
33,t,o
33, ,o
33,w,o
33,e,o
33,r,o
33,d,o
33,e,o
33,n,o
33,.,o
34,Eine,KARDINALITÄT
34, ,o
34,Fertigungsstraße,ENTITÄT
34, ,o
34,setzt sich aus,BEZIEHUNG
34, ,o
34,verschiedenen,KARDINALITÄT
34, ,o
34,Fertigungsstationen,ENTITÄT
34, ,o
34,z,o
34,u,o
34,s,o
34,a,o
34,m,o
34,m,o
34,e,o
34,n,o
34,.,o
34, ,o
36,Eine,KARDINALITÄT
36, ,o
36,Fertigungsstation,ENTITÄT
36, ,o
36,gehört,BEZIEHUNG
36, ,o
36,s,o
36,t,o
36,e,o
36,t,o
36,s,o
36, ,o
36,z,o
36,u,o
36, ,o
36,genau einer,KARDINALITÄT
36, ,o
36,Fertigungsstraße,ENTITÄT
36,.,o
37,A,o
37,n,o
37, ,o
37,einer,KARDINALITÄT
37, ,o
37,Fertigungsstation,ENTITÄT
37, ,o
37,arbeiten,BEZIEHUNG
37, ,o
37,i,o
37,n,o
37, ,o
37,d,o
37,e,o
37,r,o
37, ,o
37,R,o
37,e,o
37,g,o
37,e,o
37,l,o
37, ,o
37,mehrere,KARDINALITÄT
37, ,o
37,Mitarbeiter,ENTITÄT
37,.,o
37, ,o
39,Ein,KARDINALITÄT
39, ,o
39,Mitarbeiter,ENTITÄT
39, ,o
39,i,o
39,s,o
39,t,o
39, ,o
39,höchstens einer,KARDINALITÄT
39, ,o
39,Fertigungsstation,ENTITÄT
39, ,o
39,z,o
39,u,o
39,g,o
39,e,o
39,o,o
39,r,o
39,d,o
39,n,o
39,e,o
39,t,o
39,.,o
40,I,o
40,n,o
40, ,o
40,e,o
40,i,o
40,n,o
40,e,o
40,r,o
40, ,o
40,Fertigungsstation,ENTITÄT
40, ,o
40,k,o
40,ö,o
40,n,o
40,n,o
40,e,o
40,n,o
40, ,o
40,f,o
40,ü,o
40,r,o
40, ,o
40,d,o
40,i,o
40,e,o
40, ,o
40,e,o
40,i,o
40,n,o
40,z,o
40,e,o
40,l,o
40,n,o
40,e,o
40,n,o
40, ,o
40,A,o
40,r,o
40,b,o
40,e,o
40,i,o
40,t,o
40,s,o
40,s,o
40,c,o
40,h,o
40,r,o
40,i,o
40,t,o
40,t,o
40,e,o
40, ,o
40,Maschinen,ENTITÄT
40, ,o
40,zum Einsatz kommen,BEZIEHUNG
40,.,o
40, ,o
41,Jede,KARDINALITÄT
41, ,o
41,Maschine,ENTITÄT
41, ,o
41,w,o
41,i,o
41,r,o
41,d,o
41, ,o
41,i,o
41,n,o
41, ,o
41,höchstens einer,KARDINALITÄT
41, ,o
41,Fertigungsstation,ENTITÄT
41, ,o
41,verwendet,BEZIEHUNG
41, ,o
41,w,o
41,e,o
41,r,o
41,d,o
41,e,o
41,n,o
41,.,o
41, ,o
43,F,o
43,ü,o
43,r,o
43, ,o
43,j,o
43,e,o
43,d,o
43,e,o
43, ,o
43,Maschine,ENTITÄT
43, ,o
43,w,o
43,i,o
43,r,o
43,d,o
43, ,o
43,a,o
43,u,o
43,ß,o
43,e,o
43,r,o
43,d,o
43,e,o
43,m,o
43, ,o
43,e,o
43,r,o
43,f,o
43,a,o
43,s,o
43,s,o
43,t,o
43,",",o
43, ,o
43,w,o
43,e,o
43,l,o
43,c,o
43,h,o
43,e,o
43, ,o
43,Mitarbeiter,ENTITÄT
43, ,o
43,p,o
43,r,o
43,i,o
43,n,o
43,z,o
43,i,o
43,p,o
43,i,o
43,e,o
43,l,o
43,l,o
43, ,o
43,i,o
43,n,o
43, ,o
43,d,o
43,e,o
43,r,o
43, ,o
43,L,o
43,a,o
43,g,o
43,e,o
43, ,o
43,s,o
43,i,o
43,n,o
43,d,o
43,",",o
43, ,o
43,s,o
43,i,o
43,e,o
43, ,o
43,z,o
43,u,o
43, ,o
43,bedienen,BEZIEHUNG
43,.,o
43, ,o
47,F,o
47,ü,o
47,r,o
47, ,o
47,j,o
47,e,o
47,d,o
47,e,o
47,s,o
47, ,o
47,Produkt,ENTITÄT
47, ,o
47,s,o
47,o,o
47,l,o
47,l,o
47, ,o
47,e,o
47,i,o
47,n,o
47,e,o
47, ,o
47,Artikelnummer,PRIMÄRSCHLÜSSEL
47, ,o
47,u,o
47,n,o
47,d,o
47, ,o
47,e,o
47,i,o
47,n,o
47,e,o
47, ,o
47,Bezeichnung,ATTRIBUT
47, ,o
47,v,o
47,e,o
47,r,o
47,f,o
47,ü,o
47,g,o
47,b,o
47,a,o
47,r,o
47, ,o
47,s,o
47,e,o
47,i,o
47,n,o
47,.,o
48,F,o
48,ü,o
48,r,o
48, ,o
48,j,o
48,e,o
48,d,o
48,e,o
48, ,o
48,Fertigungsstraße,ENTITÄT
48, ,o
48,s,o
48,o,o
48,l,o
48,l,o
48, ,o
48,e,o
48,i,o
48,n,o
48, ,o
48,Kürzel,PRIMÄRSCHLÜSSEL
48, ,o
48,u,o
48,n,o
48,d,o
48, ,o
48,e,o
48,i,o
48,n,o
48,e,o
48, ,o
48,Bezeichnung,ATTRIBUT
48, ,o
48,v,o
48,e,o
48,r,o
48,f,o
48,ü,o
48,g,o
48,b,o
48,a,o
48,r,o
48, ,o
48,s,o
48,e,o
48,i,o
48,n,o
48,.,o
49,F,o
49,ü,o
49,r,o
49, ,o
49,j,o
49,e,o
49,d,o
49,e,o
49, ,o
49,Fertigungsstation,ENTITÄT
49, ,o
49,s,o
49,o,o
49,l,o
49,l,o
49, ,o
49,e,o
49,i,o
49,n,o
49, ,o
49,Kürzel,PRIMÄRSCHLÜSSEL
49, ,o
49,u,o
49,n,o
49,d,o
49, ,o
49,e,o
49,i,o
49,n,o
49,e,o
49, ,o
49,Bezeichnung,ATTRIBUT
49, ,o
49,v,o
49,e,o
49,r,o
49,f,o
49,ü,o
49,g,o
49,b,o
49,a,o
49,r,o
49, ,o
49,s,o
49,e,o
49,i,o
49,n,o
49,.,o
50,F,o
50,ü,o
50,r,o
50, ,o
50,j,o
50,e,o
50,d,o
50,e,o
50, ,o
50,Maschine,ENTITÄT
50, ,o
50,s,o
50,o,o
50,l,o
50,l,o
50, ,o
50,e,o
50,i,o
50,n,o
50,e,o
50, ,o
50,Anlagennummer,PRIMÄRSCHLÜSSEL
50, ,o
50,u,o
50,n,o
50,d,o
50, ,o
50,e,o
50,i,o
50,n,o
50,e,o
50, ,o
50,Bezeichnung,ATTRIBUT
50, ,o
50,v,o
50,e,o
50,r,o
50,f,o
50,ü,o
50,g,o
50,b,o
50,a,o
50,r,o
50, ,o
50,s,o
50,e,o
50,i,o
50,n,o
50,.,o
51,F,o
51,ü,o
51,r,o
51, ,o
51,j,o
51,e,o
51,d,o
51,e,o
51,n,o
51, ,o
51,Mitarbeiter,ENTITÄT
51, ,o
51,s,o
51,o,o
51,l,o
51,l,o
51,e,o
51,n,o
51, ,o
51,Personalnummer,PRIMÄRSCHLÜSSEL
51, ,o
51,s,o
51,o,o
51,w,o
51,i,o
51,e,o
51, ,o
51,Vor-,ATTRIBUT
51, ,o
51,u,o
51,n,o
51,d,o
51, ,o
51,Nachname,ATTRIBUT
51, ,o
51,v,o
51,e,o
51,r,o
51,f,o
51,ü,o
51,g,o
51,b,o
51,a,o
51,r,o
51, ,o
51,s,o
51,e,o
51,i,o
51,n,o
51,.,o
53,D,o
53,a,o
53,s,o
53, ,o
53,K,o
53,ü,o
53,c,o
53,h,o
53,e,o
53,n,o
53,s,o
53,t,o
53,u,o
53,d,o
53,i,o
53,o,o
53, ,o
53,„,o
53,M,o
53,u,o
53,s,o
53,t,o
53,e,o
53,r,o
53,k,o
53,ü,o
53,c,o
53,h,o
53,e,o
53,n,o
53,"""",o
53, ,o
53,b,o
53,e,o
53,n,o
53,ö,o
53,t,o
53,i,o
53,g,o
53,t,o
53, ,o
53,e,o
53,i,o
53,n,o
53,e,o
53, ,o
53,D,o
53,a,o
53,t,o
53,e,o
53,n,o
53,b,o
53,a,o
53,n,o
53,k,o
53,",",o
53, ,o
53,w,o
53,e,o
53,l,o
53,c,o
53,h,o
53,e,o
53, ,o
53,f,o
53,o,o
53,l,o
53,g,o
53,e,o
53,n,o
53,d,o
53,e,o
53, ,o
53,A,o
53,n,o
53,f,o
53,o,o
53,r,o
53,d,o
53,e,o
53,r,o
53,u,o
53,n,o
53,g,o
53,e,o
53,n,o
53, ,o
53,e,o
53,r,o
53,f,o
53,ü,o
53,l,o
53,l,o
53,e,o
53,n,o
53, ,o
53,s,o
53,o,o
53,l,o
53,l,o
53,.,o
53, ,o
54,D,o
